,mack,Vốn điều lệ,KL CP đang niêm yết,KL CP đang lưu hành
0,ACB,"27,019,480,750,000 đồng","3,377,435,094 cp","3,377,435,094 cp"
1,BID,"50,585,400,760,000 đồng","5,058,523,816 cp","5,058,523,816 cp"
2,CTG,"48,057,796,430,000 đồng","4,805,750,609 cp","4,805,750,609 cp"
3,EIB,"12,355,229,040,000 đồng","1,235,522,904 cp","1,229,432,904 cp"
4,HDB,"25,303,429,220,000 đồng","2,530,342,922 cp","2,515,258,603 cp"
5,LPB,"150,035,859,930,000 đồng","1,503,585,993 cp","1,503,585,993 cp"
6,MBB,"45,339,861,330,000 đồng","4,533,986,133 cp","4,533,986,133 cp"
7,MSB,"15,275,000,000,000 đồng","1,527,500,000 cp","2,086,272,811 cp"
8,OCB,"13,698,829,280,000 đồng","1,173,794,913 cp","1,369,882,863 cp"
9,SSB,"20,402,982,680,000 đồng","1,980,898,268 cp","2,040,298,268 cp"
10,STB,"18,852,157,160,000 đồng","1,885,215,716 cp","1,885,215,716 cp"
11,TCB,"35,172,385,140,000 đồng","3,510,914,798 cp","3,587,238,514 cp"
12,TPB,"15,817,568,240,000 đồng","1,581,755,495 cp","1,581,755,495 cp"
13,VCB,"47,325,276,230,000 đồng","4,732,516,571 cp","4,732,516,571 cp"
14,VIB,"21,076,729,450,000 đồng","1,630,050,539 cp","2,107,672,945 cp"
15,VPB,"67,434,296,800,000 đồng","6,072,960,266 cp","6,713,204,001 cp"
16,AAM,"123,464,110,000 đồng","12,346,411 cp","10,451,182 cp"
17,VHC,"1,833,769,560,000 đồng","183,376,956 cp","183,376,956 cp"
18,DAT,"629,351,040,000 đồng","62,935,104 cp","62,935,104 cp"
19,TS4,"161,606,460,000 đồng","16,160,646 cp","16,051,594 cp"
20,ABT,"143,872,070,000 đồng","14,387,207 cp","11,777,257 cp"
21,IDI,"2,276,446,080,000 đồng","227,644,608 cp","227,644,608 cp"
22,ACL,"775,186,290,000 đồng","50,159,019 cp","50,159,019 cp"
23,CMX,"1,018,992,520,000 đồng","97,932,707 cp","101,898,990 cp"
24,DRH,"1,243,538,660,000 đồng","124,353,866 cp","123,707,866 cp"
